bucket,t_start,t_end,compile_starts,artifact_finishes,build_scripts,proc_macro_finishes,custom_build_finishes,lib_finishes,bin_finishes,cum_starts,cum_finishes,approx_in_flight
0,0,30,20,13,4,0,4,9,0,20,13,7
1,30,60,12,16,1,0,4,12,0,32,29,3
2,60,90,13,12,4,3,2,7,0,45,41,4
3,90,120,13,14,4,6,3,5,0,58,55,3
4,120,150,12,13,4,5,4,4,0,70,68,2
5,150,180,12,13,5,0,5,8,0,82,81,1
6,180,210,15,16,4,6,3,7,0,97,97,0
7,210,240,6,8,1,6,1,1,0,103,105,0
8,240,270,19,22,0,0,0,22,0,122,127,0
9,270,300,18,21,0,0,0,21,0,140,148,0
10,300,330,15,20,0,0,0,20,0,155,168,0
11,330,360,23,25,0,0,0,25,0,178,193,0
12,360,390,18,22,0,0,0,22,0,196,215,0
13,390,420,24,25,0,0,0,25,0,220,240,0
14,420,450,8,16,0,0,0,16,0,228,256,0
15,450,457,0,2,0,0,0,1,1,228,258,0
