second_end,epoch_start,epoch_end,wall_delta_s,qemu_cpu_delta_s,host_cpu_pct,host_ps_cpu_pct_end,normalized_8vcpu_pct,busy_vcpu_equiv,rss_mb_end,vsz_mb_end
1,1780139760,1780139761,1,1.6500,165.00,167.20,20.62,1.65,130.91,429488.12
2,1780139761,1780139762,1,1.7600,176.00,175.90,22.00,1.76,149.98,429488.12
3,1780139762,1780139763,1,1.7200,172.00,170.00,21.50,1.72,150.39,429488.12
4,1780139763,1780139764,1,1.6000,160.00,157.20,20.00,1.60,152.25,429488.12
5,1780139764,1780139765,1,1.6200,162.00,159.10,20.25,1.62,163.33,429488.12
6,1780139765,1780139766,1,1.6500,165.00,167.50,20.63,1.65,207.14,429488.12
8,1780139766,1780139768,2,1.6800,84.00,159.30,10.50,0.84,260.23,429488.12
9,1780139768,1780139769,1,1.6600,166.00,165.70,20.75,1.66,261.27,429488.12
10,1780139769,1780139770,1,1.6800,168.00,164.90,21.00,1.68,260.44,429488.12
11,1780139770,1780139771,1,1.6900,169.00,167.70,21.12,1.69,259.75,429488.12
12,1780139771,1780139772,1,1.7000,170.00,170.40,21.25,1.70,242.19,429488.12
13,1780139772,1780139773,1,1.6700,167.00,165.30,20.88,1.67,244.59,429488.12
14,1780139773,1780139774,1,1.5000,150.00,159.60,18.75,1.50,245.33,429488.12
15,1780139774,1780139775,1,1.6700,167.00,163.30,20.87,1.67,247.20,429488.12
16,1780139775,1780139776,1,1.6800,168.00,165.40,21.00,1.68,249.41,429488.12
17,1780139776,1780139777,1,1.9400,194.00,213.30,24.25,1.94,264.16,429488.12
18,1780139777,1780139778,1,3.5800,358.00,338.80,44.75,3.58,333.22,429488.12
19,1780139778,1780139779,1,2.8300,283.00,267.30,35.37,2.83,426.72,429488.12
20,1780139779,1780139780,1,2.9100,291.00,266.40,36.38,2.91,530.70,429488.12
21,1780139780,1780139781,1,2.1600,216.00,184.80,27.00,2.16,639.34,429488.12
22,1780139781,1780139782,1,4.1900,419.00,439.50,52.37,4.19,670.22,429488.12
23,1780139782,1780139783,1,3.3900,339.00,317.30,42.38,3.39,644.34,429488.12
24,1780139783,1780139784,1,3.5500,355.00,343.70,44.38,3.55,706.19,429488.12
25,1780139784,1780139785,1,3.5300,353.00,346.50,44.13,3.53,806.91,429488.12
26,1780139785,1780139786,1,3.6000,360.00,334.50,45.00,3.60,775.11,429488.12
27,1780139786,1780139787,1,4.0300,403.00,391.20,50.38,4.03,815.58,429488.12
28,1780139787,1780139788,1,3.3700,337.00,366.00,42.13,3.37,853.39,429488.12
