epoch,runner_t_s,build_t_s,root_pid,tree_cpu_pct_sum,busy_core_equiv,normalized_8core_pct,process_count,rustc_count,cargo_count,build_script_count,max_process_cpu_pct,top_command
1780132120.519,14.465,0.519,63955,0.00,0.00,0.00,4,1,0,0,0.00,bash /Users/txc/code/Auto-OS/showtime-2/scripts/run-host-aligned-starryos-oracle.sh
1780132121.579,15.525,1.579,63955,168.80,1.69,21.10,15,7,1,0,39.00,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/rustc --crate-name core --edition=2024 /Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/lib.rs --error-format=json --json=diagnostic-rendered-ansi,artifacts,future-incompat --crate-type lib --emit=dep-info,metadata,link -C opt-level=3 -C linker-plugin-lto --warn=unexpected_cfgs --check-cfg cfg(no_fp_fmt_parse) --check-cfg cfg(feature, values(any())) --check-cfg cfg(target_has_reliable_f16) --check-cfg cfg(target_has_reliable_f16_math) --check-cfg cfg(target_has_reliable_f128) --check-cfg cfg(target_has_reliable_f128_math) --check-cfg cfg(llvm_enzyme) --check-cfg cfg(docsrs,test) --check-cfg cfg(feature, values(""debug_refcell"", ""llvm_enzyme"", ""optimize_for_size"", ""panic_immediate_abort"")) -C metadata=8514cc1fb2c882d8 -C extra-filename=-24028a52cfebc9af --out-dir /private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/aarch64-unknown-none-softfloat/release/deps --target aarch64-unknown-none-softfloat -C strip=debuginfo -Z force-unstable-if-unmarked -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/aarch64-unknown-none-softfloat/release/deps -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/release/deps --cap-lints allow -Clink-arg=-Tlinker.x -Clink-arg=-no-pie -Clink-arg=-znostart-stop-gc"
1780132122.623,16.569,2.623,63955,271.40,2.71,33.92,11,3,1,4,95.10,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/rustc --crate-name core --edition=2024 /Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/lib.rs --error-format=json --json=diagnostic-rendered-ansi,artifacts,future-incompat --crate-type lib --emit=dep-info,metadata,link -C opt-level=3 -C linker-plugin-lto --warn=unexpected_cfgs --check-cfg cfg(no_fp_fmt_parse) --check-cfg cfg(feature, values(any())) --check-cfg cfg(target_has_reliable_f16) --check-cfg cfg(target_has_reliable_f16_math) --check-cfg cfg(target_has_reliable_f128) --check-cfg cfg(target_has_reliable_f128_math) --check-cfg cfg(llvm_enzyme) --check-cfg cfg(docsrs,test) --check-cfg cfg(feature, values(""debug_refcell"", ""llvm_enzyme"", ""optimize_for_size"", ""panic_immediate_abort"")) -C metadata=8514cc1fb2c882d8 -C extra-filename=-24028a52cfebc9af --out-dir /private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/aarch64-unknown-none-softfloat/release/deps --target aarch64-unknown-none-softfloat -C strip=debuginfo -Z force-unstable-if-unmarked -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/aarch64-unknown-none-softfloat/release/deps -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/release/deps --cap-lints allow -Clink-arg=-Tlinker.x -Clink-arg=-no-pie -Clink-arg=-znostart-stop-gc"
1780132123.655,17.601,3.655,63955,176.20,1.76,22.03,12,2,1,5,97.40,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/rustc --crate-name core --edition=2024 /Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/lib.rs --error-format=json --json=diagnostic-rendered-ansi,artifacts,future-incompat --crate-type lib --emit=dep-info,metadata,link -C opt-level=3 -C linker-plugin-lto --warn=unexpected_cfgs --check-cfg cfg(no_fp_fmt_parse) --check-cfg cfg(feature, values(any())) --check-cfg cfg(target_has_reliable_f16) --check-cfg cfg(target_has_reliable_f16_math) --check-cfg cfg(target_has_reliable_f128) --check-cfg cfg(target_has_reliable_f128_math) --check-cfg cfg(llvm_enzyme) --check-cfg cfg(docsrs,test) --check-cfg cfg(feature, values(""debug_refcell"", ""llvm_enzyme"", ""optimize_for_size"", ""panic_immediate_abort"")) -C metadata=8514cc1fb2c882d8 -C extra-filename=-24028a52cfebc9af --out-dir /private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/aarch64-unknown-none-softfloat/release/deps --target aarch64-unknown-none-softfloat -C strip=debuginfo -Z force-unstable-if-unmarked -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/aarch64-unknown-none-softfloat/release/deps -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/release/deps --cap-lints allow -Clink-arg=-Tlinker.x -Clink-arg=-no-pie -Clink-arg=-znostart-stop-gc"
1780132124.701,18.647,4.701,63955,299.80,3.00,37.48,12,3,1,4,97.70,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/rustc --crate-name core --edition=2024 /Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/lib.rs --error-format=json --json=diagnostic-rendered-ansi,artifacts,future-incompat --crate-type lib --emit=dep-info,metadata,link -C opt-level=3 -C linker-plugin-lto --warn=unexpected_cfgs --check-cfg cfg(no_fp_fmt_parse) --check-cfg cfg(feature, values(any())) --check-cfg cfg(target_has_reliable_f16) --check-cfg cfg(target_has_reliable_f16_math) --check-cfg cfg(target_has_reliable_f128) --check-cfg cfg(target_has_reliable_f128_math) --check-cfg cfg(llvm_enzyme) --check-cfg cfg(docsrs,test) --check-cfg cfg(feature, values(""debug_refcell"", ""llvm_enzyme"", ""optimize_for_size"", ""panic_immediate_abort"")) -C metadata=8514cc1fb2c882d8 -C extra-filename=-24028a52cfebc9af --out-dir /private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/aarch64-unknown-none-softfloat/release/deps --target aarch64-unknown-none-softfloat -C strip=debuginfo -Z force-unstable-if-unmarked -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/aarch64-unknown-none-softfloat/release/deps -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/release/deps --cap-lints allow -Clink-arg=-Tlinker.x -Clink-arg=-no-pie -Clink-arg=-znostart-stop-gc"
1780132125.736,19.682,5.736,63955,127.20,1.27,15.90,13,3,1,5,97.60,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/rustc --crate-name core --edition=2024 /Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/lib.rs --error-format=json --json=diagnostic-rendered-ansi,artifacts,future-incompat --crate-type lib --emit=dep-info,metadata,link -C opt-level=3 -C linker-plugin-lto --warn=unexpected_cfgs --check-cfg cfg(no_fp_fmt_parse) --check-cfg cfg(feature, values(any())) --check-cfg cfg(target_has_reliable_f16) --check-cfg cfg(target_has_reliable_f16_math) --check-cfg cfg(target_has_reliable_f128) --check-cfg cfg(target_has_reliable_f128_math) --check-cfg cfg(llvm_enzyme) --check-cfg cfg(docsrs,test) --check-cfg cfg(feature, values(""debug_refcell"", ""llvm_enzyme"", ""optimize_for_size"", ""panic_immediate_abort"")) -C metadata=8514cc1fb2c882d8 -C extra-filename=-24028a52cfebc9af --out-dir /private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/aarch64-unknown-none-softfloat/release/deps --target aarch64-unknown-none-softfloat -C strip=debuginfo -Z force-unstable-if-unmarked -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/aarch64-unknown-none-softfloat/release/deps -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/release/deps --cap-lints allow -Clink-arg=-Tlinker.x -Clink-arg=-no-pie -Clink-arg=-znostart-stop-gc"
1780132126.791,20.737,6.791,63955,182.90,1.83,22.86,13,6,1,2,95.50,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/rustc --crate-name core --edition=2024 /Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/lib.rs --error-format=json --json=diagnostic-rendered-ansi,artifacts,future-incompat --crate-type lib --emit=dep-info,metadata,link -C opt-level=3 -C linker-plugin-lto --warn=unexpected_cfgs --check-cfg cfg(no_fp_fmt_parse) --check-cfg cfg(feature, values(any())) --check-cfg cfg(target_has_reliable_f16) --check-cfg cfg(target_has_reliable_f16_math) --check-cfg cfg(target_has_reliable_f128) --check-cfg cfg(target_has_reliable_f128_math) --check-cfg cfg(llvm_enzyme) --check-cfg cfg(docsrs,test) --check-cfg cfg(feature, values(""debug_refcell"", ""llvm_enzyme"", ""optimize_for_size"", ""panic_immediate_abort"")) -C metadata=8514cc1fb2c882d8 -C extra-filename=-24028a52cfebc9af --out-dir /private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/aarch64-unknown-none-softfloat/release/deps --target aarch64-unknown-none-softfloat -C strip=debuginfo -Z force-unstable-if-unmarked -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/aarch64-unknown-none-softfloat/release/deps -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/release/deps --cap-lints allow -Clink-arg=-Tlinker.x -Clink-arg=-no-pie -Clink-arg=-znostart-stop-gc"
1780132127.840,21.786,7.840,63955,109.30,1.09,13.66,14,3,1,4,96.10,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/rustc --crate-name core --edition=2024 /Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/lib.rs --error-format=json --json=diagnostic-rendered-ansi,artifacts,future-incompat --crate-type lib --emit=dep-info,metadata,link -C opt-level=3 -C linker-plugin-lto --warn=unexpected_cfgs --check-cfg cfg(no_fp_fmt_parse) --check-cfg cfg(feature, values(any())) --check-cfg cfg(target_has_reliable_f16) --check-cfg cfg(target_has_reliable_f16_math) --check-cfg cfg(target_has_reliable_f128) --check-cfg cfg(target_has_reliable_f128_math) --check-cfg cfg(llvm_enzyme) --check-cfg cfg(docsrs,test) --check-cfg cfg(feature, values(""debug_refcell"", ""llvm_enzyme"", ""optimize_for_size"", ""panic_immediate_abort"")) -C metadata=8514cc1fb2c882d8 -C extra-filename=-24028a52cfebc9af --out-dir /private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/aarch64-unknown-none-softfloat/release/deps --target aarch64-unknown-none-softfloat -C strip=debuginfo -Z force-unstable-if-unmarked -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/aarch64-unknown-none-softfloat/release/deps -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/release/deps --cap-lints allow -Clink-arg=-Tlinker.x -Clink-arg=-no-pie -Clink-arg=-znostart-stop-gc"
1780132128.882,22.828,8.882,63955,156.80,1.57,19.60,14,3,1,4,71.20,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/rustc --crate-name core --edition=2024 /Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/lib.rs --error-format=json --json=diagnostic-rendered-ansi,artifacts,future-incompat --crate-type lib --emit=dep-info,metadata,link -C opt-level=3 -C linker-plugin-lto --warn=unexpected_cfgs --check-cfg cfg(no_fp_fmt_parse) --check-cfg cfg(feature, values(any())) --check-cfg cfg(target_has_reliable_f16) --check-cfg cfg(target_has_reliable_f16_math) --check-cfg cfg(target_has_reliable_f128) --check-cfg cfg(target_has_reliable_f128_math) --check-cfg cfg(llvm_enzyme) --check-cfg cfg(docsrs,test) --check-cfg cfg(feature, values(""debug_refcell"", ""llvm_enzyme"", ""optimize_for_size"", ""panic_immediate_abort"")) -C metadata=8514cc1fb2c882d8 -C extra-filename=-24028a52cfebc9af --out-dir /private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/aarch64-unknown-none-softfloat/release/deps --target aarch64-unknown-none-softfloat -C strip=debuginfo -Z force-unstable-if-unmarked -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/aarch64-unknown-none-softfloat/release/deps -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/release/deps --cap-lints allow -Clink-arg=-Tlinker.x -Clink-arg=-no-pie -Clink-arg=-znostart-stop-gc"
1780132129.917,23.863,9.917,63955,89.20,0.89,11.15,12,3,1,3,89.00,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/rustc --crate-name syn --edition=2018 /Users/txc/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/syn-1.0.109/src/lib.rs --error-format=json --json=diagnostic-rendered-ansi,artifacts,future-incompat --crate-type lib --emit=dep-info,metadata,link -C embed-bitcode=no -C debug-assertions=off --cfg feature=""clone-impls"" --cfg feature=""default"" --cfg feature=""derive"" --cfg feature=""extra-traits"" --cfg feature=""full"" --cfg feature=""parsing"" --cfg feature=""printing"" --cfg feature=""proc-macro"" --cfg feature=""quote"" --check-cfg cfg(docsrs,test) --check-cfg cfg(feature, values(""clone-impls"", ""default"", ""derive"", ""extra-traits"", ""fold"", ""full"", ""parsing"", ""printing"", ""proc-macro"", ""quote"", ""test"", ""visit"", ""visit-mut"")) -C metadata=17c27c617ecb8225 -C extra-filename=-ea950625ad5d88e8 --out-dir /private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/release/deps -C strip=debuginfo -L dependency=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/release/deps --extern proc_macro2=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/release/deps/libproc_macro2-db7bb0f61d75eb4e.rmeta --extern quote=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/release/deps/libquote-cec908a394b3b7dc.rmeta --extern unicode_ident=/private/tmp/host-starryos-aligned-j8-target-20260530T170100-native-j8/release/deps/libunicode_ident-12f5667cc058b72b.rmeta --cap-lints allow"
